# forecast_id: 31ae8548-9a07-11e9-b2f4-0a580a8003d5
# metadata: https://api.solarforecastarbiter.org/forecasts/single/31ae8548-9a07-11e9-b2f4-0a580a8003d5/metadata
timestamp,value
20190517T15:00:00+0000,381.536
20190517T16:00:00+0000,599.579
20190517T17:00:00+0000,795.835
20190517T18:00:00+0000,930.62
20190517T19:00:00+0000,1019.78
20190517T20:00:00+0000,1039.13
20190517T21:00:00+0000,993.399
20190517T22:00:00+0000,885.847
20190517T23:00:00+0000,724.232
20190518T00:00:00+0000,520.646
20190518T01:00:00+0000,292.378
20190518T02:00:00+0000,77.044
20190518T03:00:00+0000,0.24027
20190518T04:00:00+0000,0.0
20190518T05:00:00+0000,0.0
20190518T06:00:00+0000,0.0
20190518T07:00:00+0000,0.0
20190518T08:00:00+0000,0.0
20190518T09:00:00+0000,0.0
20190518T10:00:00+0000,0.0
20190518T11:00:00+0000,0.0
20190518T12:00:00+0000,0.0
20190518T13:00:00+0000,10.6633
20190518T14:00:00+0000,159.139
20190518T15:00:00+0000,388.044
20190518T16:00:00+0000,608.601
20190518T17:00:00+0000,796.649
20190518T18:00:00+0000,937.301
20190518T19:00:00+0000,1020.26
20190518T20:00:00+0000,972.035
20190518T21:00:00+0000,864.776
20190518T22:00:00+0000,621.555
20190518T23:00:00+0000,329.317
20190519T00:00:00+0000,189.542
20190519T01:00:00+0000,102.986
20190519T02:00:00+0000,27.5456
20190519T03:00:00+0000,0.100754
20190519T04:00:00+0000,0.0
20190519T05:00:00+0000,0.0
20190519T06:00:00+0000,0.0
20190519T07:00:00+0000,0.0
20190519T08:00:00+0000,0.0
20190519T09:00:00+0000,0.0
20190519T10:00:00+0000,0.0
20190519T11:00:00+0000,0.0
20190519T12:00:00+0000,0.0
20190519T13:00:00+0000,10.8653
20190519T14:00:00+0000,133.595
20190519T15:00:00+0000,214.776
20190519T16:00:00+0000,272.817
20190519T17:00:00+0000,299.821
20190519T18:00:00+0000,377.011
20190519T19:00:00+0000,596.084
20190519T20:00:00+0000,674.996
20190519T21:00:00+0000,554.968
20190519T22:00:00+0000,414.449
20190519T23:00:00+0000,292.048
20190520T00:00:00+0000,196.89
20190520T01:00:00+0000,124.803
20190520T02:00:00+0000,42.2282
20190520T03:00:00+0000,0.343092
20190520T04:00:00+0000,0.0
20190520T05:00:00+0000,0.0
20190520T06:00:00+0000,0.0
20190520T07:00:00+0000,0.0
20190520T08:00:00+0000,0.0
20190520T09:00:00+0000,0.0
20190520T10:00:00+0000,0.0
20190520T11:00:00+0000,0.0
20190520T12:00:00+0000,0.0
20190520T13:00:00+0000,11.1842
20190520T14:00:00+0000,122.217
20190520T15:00:00+0000,228.197
20190520T16:00:00+0000,308.972
20190520T17:00:00+0000,377.889
20190520T18:00:00+0000,358.907
20190520T19:00:00+0000,357.379
20190520T20:00:00+0000,729.368
20190520T21:00:00+0000,522.932
20190520T22:00:00+0000,351.304
20190520T23:00:00+0000,524.228
20190521T00:00:00+0000,508.052
20190521T01:00:00+0000,297.922
20190521T02:00:00+0000,82.012
20190521T03:00:00+0000,0.40461
20190521T04:00:00+0000,0.0
20190521T05:00:00+0000,0.0
20190521T06:00:00+0000,0.0
20190521T07:00:00+0000,0.0
20190521T08:00:00+0000,0.0
20190521T09:00:00+0000,0.0
20190521T10:00:00+0000,0.0
20190521T11:00:00+0000,0.0
20190521T12:00:00+0000,0.0
20190521T13:00:00+0000,12.1103
20190521T14:00:00+0000,163.767
20190521T15:00:00+0000,391.972
20190521T16:00:00+0000,611.507
20190521T17:00:00+0000,798.691
20190521T18:00:00+0000,938.748
20190521T19:00:00+0000,1021.43
20190521T20:00:00+0000,1040.85
20190521T21:00:00+0000,995.637
20190521T22:00:00+0000,889.019
20190521T23:00:00+0000,728.676
20190522T00:00:00+0000,526.576
20190522T01:00:00+0000,299.732
20190522T02:00:00+0000,83.6616
20190522T03:00:00+0000,0.472577
20190522T04:00:00+0000,0.0
20190522T05:00:00+0000,0.0
20190522T06:00:00+0000,0.0
20190522T07:00:00+0000,0.0
20190522T08:00:00+0000,0.0
20190522T09:00:00+0000,0.0
20190522T10:00:00+0000,0.0
20190522T11:00:00+0000,0.0
20190522T12:00:00+0000,0.0
20190522T13:00:00+0000,12.5692
20190522T14:00:00+0000,165.143
20190522T15:00:00+0000,393.108
20190522T16:00:00+0000,612.321
20190522T17:00:00+0000,799.241
20190522T18:00:00+0000,939.123
20190522T19:00:00+0000,1015.1
20190522T20:00:00+0000,1034.43
20190522T21:00:00+0000,989.663
20190522T22:00:00+0000,883.983
20190522T23:00:00+0000,725.003
20190523T00:00:00+0000,524.584
20190523T01:00:00+0000,301.523
20190523T02:00:00+0000,85.3054
20190523T03:00:00+0000,0.547088
20190523T04:00:00+0000,0.0
20190523T05:00:00+0000,0.0
20190523T06:00:00+0000,0.0
20190523T07:00:00+0000,0.0
20190523T08:00:00+0000,0.0
20190523T09:00:00+0000,0.0
20190523T10:00:00+0000,0.0
20190523T11:00:00+0000,0.0
20190523T12:00:00+0000,0.0
20190523T13:00:00+0000,12.4211
20190523T14:00:00+0000,165.354
20190523T15:00:00+0000,391.598
20190523T16:00:00+0000,613.06
20190523T17:00:00+0000,789.331
20190523T18:00:00+0000,927.235
20190523T19:00:00+0000,1022.01
20190523T20:00:00+0000,1041.52
20190523T21:00:00+0000,996.616
20190523T22:00:00+0000,890.497
20190523T23:00:00+0000,730.802
20190524T00:00:00+0000,529.44
20190524T01:00:00+0000,303.293
20190524T02:00:00+0000,86.9417
20190524T03:00:00+0000,0.628173
20190524T04:00:00+0000,0.0
20190524T05:00:00+0000,0.0
20190524T06:00:00+0000,0.0
20190524T07:00:00+0000,0.0
20190524T08:00:00+0000,0.0
20190524T09:00:00+0000,0.0
20190524T10:00:00+0000,0.0
20190524T11:00:00+0000,0.0
20190524T12:00:00+0000,0.0
20190524T13:00:00+0000,13.4407
20190524T14:00:00+0000,167.645
20190524T15:00:00+0000,395.127
20190524T16:00:00+0000,613.724
20190524T17:00:00+0000,800.151
20190524T18:00:00+0000,939.722
20190524T19:00:00+0000,1022.24
20190524T20:00:00+0000,1041.81
20190524T21:00:00+0000,997.074
20190524T22:00:00+0000,891.21
20190524T23:00:00+0000,731.842
20190525T00:00:00+0000,530.847
20190525T01:00:00+0000,305.042
20190525T02:00:00+0000,88.569
20190525T03:00:00+0000,0.715796
20190525T04:00:00+0000,0.0
